Company Name	Exchange:Ticker	Market Capitalization	Total Enterprise Value	Total Revenue	EBITDA	P_LTM Diluted EPS Before Extra	Diluted EPS before Extra 1 Yr Growth	Diluted EPS before Extra 5 Yr CAGR	Diluted EPS before Extra 10 Yr CAGR	Day Close Price	Shares Outstanding	Dividend Yield	Current Ratio	Total Equity	Total Assets	Total Liabilities	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Return on Equity	Return on Assets	Gross Margin	Earnings from Cont Ops Margin	Total Debt_Equity	Est Annual EPS Growth  1 Yr	Est Annual EPS Growth  2 Yr	LT EPS Growth Rate
"51job, Inc. (NasdaqGS:JOBS)"	NasdaqGS:JOBS	"2,894.00"	"2,125.40"	352.4	103.7	29.8	18.9	9.26	19.4	47.31	61.2		2.52	716.6	"1,205.50"	424.2	1.39	1.39	1.59	1.59	13.3	5.4	71.9	26.5	23.7	13.1	13.8	15
58.com Inc. (NYSE:WUBA)	NYSE:WUBA	"7,322.40"	"7,290.70"	"1,172.20"	160	NM	NM			50.4	145.3		0.636	"2,571.10"	"3,708.80"	"1,103.30"	0.787	0.787	0.27	0.27	1.42	1.56	91.2	3.15	11			86
8point3 Energy Partners LP (NasdaqGS:CAFD)	NasdaqGS:CAFD	411.4	"1,715.30"	67.2	51.6	57.1				14.65	28.1	7.21	2.32	879.5	"1,636.20"	778.9	1.27	1.27	0.256	0.256			89	32.7	83.9	49.3	22.3	15.8
"8x8, Inc. (NasdaqGS:EGHT)"	NasdaqGS:EGHT	"1,307.60"	"1,132.60"	253.4	3.18	NM	NM			14.25	91.8		4.55	288.6	333.9	45.3	0.053	0.053	0.053	0.053	1.69	1.29	75.5	1.88		21.7	1.72	17.5
"AMark Precious Metals, Inc. (NasdaqGS:AMRK)"	NasdaqGS:AMRK	104.2	477.7	"7,398.10"	10.5	15.3	35.7			14.82	7.03	2.16	1.1	63.3	523	450.8	1.3	1.3	0.971	0.971	10.4	1.21	0.443	0.095	521.4	8.46	3.4	
A. O. Smith Corporation (NYSE:AOS)	NYSE:AOS	"9,939.20"	"9,586.30"	"2,789.00"	543.1	29.6	16.5	21.9		57.44	173	0.975	2.23	"1,515.30"	"2,940.20"	"1,373.80"	1.85	1.85	1.94	1.94	22.4	10.7	41.6	12.2	23.6	13.6	12.6	13.7
"A. Schulman, Inc. (NasdaqGS:SHLM)"	NasdaqGS:SHLM	903.6	"1,915.20"	"2,419.10"	207	NM				30.8	29.3	2.66	1.68	168.4	"1,787.40"	"1,610.20"	12.4	12.5	12.5	12.6	94.3	4	16	14.9	525.8	2.31	9.54	10.6
A.H. Belo Corporation (NYSE:AHC)	NYSE:AHC	117.3	48.1	258.4	8.28	NM	NM			5.4	21.7	5.93	2.97	91.8	177.6	100.9	0.9	0.9	1.07	1.07	23.6	1.01	3.2	8.91				
"A10 Networks, Inc. (NYSE:ATEN)"	NYSE:ATEN	479.8	363.6	236.5	5.67	NM	NM			6.92	69.3		2.07	86.1	221	132.4	0.319	0.319	0.229	0.229	18.6	4.22	76.4	6.47				23.5
"AAC Holdings, Inc. (NYSE:AAC)"	NYSE:AAC	162.7	344.1	264.9	27.5	NM				6.76	24.1		2.12	154.8	396.6	241.1	0.03	0.03	0.089	0.089	4.83	1.44	35.4	2.69	127.7	31	2.86	20
"AAON, Inc. (NasdaqGS:AAON)"	NasdaqGS:AAON	"1,972.50"	"1,930.60"	384.6	91.2	38.6	6.78	29.9	12.3	37.5	52.6	0.693	3.56	205.9	265.3	53.5	1	1	0.97	0.97	26	19.3	30.5	13.5		7.67	19.2	15.7
AAR Corp. (NYSE:AIR)	NYSE:AIR	"1,269.70"	"1,391.00"	"1,767.60"	132.7	25.9	31.8	2.57	0.223	37.61	33.8	0.798	2.65	914.2	"1,504.10"	589.9	1.63	1.45	1.63	1.45	5.64	3.37	15.6	2.84	17.2	17.5	27.9	15
"Aaron's, Inc. (NYSE:AAN)"	NYSE:AAN	"2,667.40"	"2,803.60"	"3,197.80"	467.5	19.2	5.71	1.98	6.41	37.75	70.7	0.291	2.07	"1,481.60"	"2,624.50"	"1,124.30"	1.91	1.91	1.97	1.97	9.79	9.53	49.9	4.47	32.3	3.65	8.59	11.1
"Abaxis, Inc. (NasdaqGS:ABAX)"	NasdaqGS:ABAX	"1,171.70"	"1,029.10"	227.2	51.8	35.9	5.88	19.9	12.1	51.72	22.7	1.08	6.97	266.2	305.6	39.4	1.44	1.44	1.44	1.44	13	9.64	55.4	14.4	0.142	6.47	6.24	25
ABB Ltd (SWX:ABBN)	SWX:ABBN	"54,241.40"	"54,944.80"	"33,779.00"	"4,358.00"	24.6	15.7	6.75	2.01	25.02	"2,168.10"	3.15	1.47	"13,897.00"	"40,306.00"	"25,371.00"	0.877	0.87	0.987	0.98	14.8	5.06	29.2	6.66	46.4	26.4	19.2	9.85
Abbott Laboratories (NYSE:ABT)	NYSE:ABT	"84,872.10"	"100,263.10"	"22,303.00"	"4,768.00"	55	37.1	19.6	1.27	48.91	"1,735.30"	2.17	2.91	"20,717.00"	"70,887.00"	"39,340.00"	0.937	0.71	0.961	0.89	5.32	3.38	57.3	6.25	76.3	12.5	12.2	11.3
AbbVie Inc. (NYSE:ABBV)	NYSE:ABBV	"116,357.50"	"147,413.50"	"26,218.00"	"11,150.00"	19	16	11.1		73.11	"1,591.50"	3.5	1.76	"4,636.00"	"65,664.00"	"60,666.00"	3.63	3.63	3.86	3.86	130.9	10.3	76.8	24.1	746.4	14.8	16.3	12.1
Abeona Therapeutics Inc. (NasdaqCM:ABEO)	NasdaqCM:ABEO	374.4	311.2	0.84	22.1	NM	NM			9.3	40.3		10.5	99.1	105.3	9.58	0.64	0.64	0.598	0.598	26.7	15.7	100					
Abercrombie & Fitch Co. (NYSE:ANF)	NYSE:ANF	764.7	662.6	"3,302.40"	181.5	NM				8.89	86	9	2.38	"1,252.00"	"2,158.00"	977.2	0.058	0.058	0.267	0.267	1.2	0.329	60.6	0.444	26.3			21
Ability Inc. (NasdaqCM:ABIL)	NasdaqCM:ABIL	26.8	14.9	16.5	4.64	NM				1.04	25.8		1.38	9.7	31.8	22.1	0.328	0.328	0.328	0.328	58.7	7.94	47.8	48.8				
"ABIOMED, Inc. (NasdaqGS:ABMD)"	NasdaqGS:ABMD	"6,392.40"	"6,178.80"	445.3	97.9	124	37.6	97.5		145.07	44.1		4.7	452.1	550.4	98.3	1.17	1.17	1.17	1.17	12.7	11.8	84.1	11.7	3.61	50.8	46.8	30
ABM Industries Incorporated (NYSE:ABM)	NYSE:ABM	"2,392.50"	"2,614.70"	"5,256.40"	184.6	27.3	103.9	4.55	2.71	42.9	55.8	1.59	1.43	974	"2,394.20"	"1,456.60"	1	1.09	0.225	1.57	9.29	3.49	10.3	1.71	29.6	11.5	11.9	16
Abraxas Petroleum Corporation (NasdaqCM:AXAS)	NasdaqCM:AXAS	264.7	285.5	59.9	19.3	NM	NM			1.63	162.4		0.518	18.5	156.6	58.4	0.79	0.79	0.311	0.311	58.6	1.72	69.7	69.8	22.2			
AC Immune SA (NasdaqGM:ACIU)	NasdaqGM:ACIU	490.1	352	24.7	12.2	NM				8.61	56.9		18.6	140.2	144.6	11.5	0.14	0.14	0.197	0.197	10.5	7.17	12.6	42				
"Acacia Communications, Inc. (NasdaqGS:ACIA)"	NasdaqGS:ACIA	"1,507.00"	"1,235.70"	508.6	141.9	11.5	202			39	38.6		6.2	434.8	548.4	72.4	3.22	3.22	3.4	3.4	53.3	23.2	47.6	30		41.7	6.07	11
Acacia Research Corporation (NasdaqGS:ACTG)	NasdaqGS:ACTG	202.4	58.7	136.8	32.6	NM	NM			4	50.6	0	11.5	267.4	272.9	15.2	1.08	1.08	1.12	1.12	20.2	0.772	84.1	41.7		48.4	14.8	
"Acadia Healthcare Company, Inc. (NasdaqGS:ACHC)"	NasdaqGS:ACHC	"4,334.90"	"7,590.70"	"2,873.30"	585.2	287.3	89.8			49.36	87.8		1.26	"2,185.50"	"6,065.80"	"3,812.30"	0.07	0.07	0.172	0.172	0.563	4.35	41	0.473	145.6	0.199	7.31	16.5
ACADIA Pharmaceuticals Inc. (NasdaqGS:ACAD)	NasdaqGS:ACAD	"3,489.30"	"3,019.80"	32.6	309	NM	NM			28.59	122		10.8	518.4	503	45.5	2.34	2.34	2.61	2.61	68.6	40.1	265.7					
Acasti Pharma Inc. (TSXV:ACST)	TSXV:ACST	18.7	12.1		5.87	NM				1.27	14.7		3.51	16.3	16	1.35	0.702	0.702	0.702	0.702								
"Accelerate Diagnostics, Inc. (NasdaqCM:AXDX)"	NasdaqCM:AXDX	"1,610.70"	"1,546.70"	0.613	63.3	NM	NM			29.4	54.8		13.4	77.8	74.4	5.27	1.29	1.29	1.27	1.27	69.4	41	95.8					30
Acceleron Pharma Inc. (NasdaqGM:XLRN)	NasdaqGM:XLRN	"1,232.70"	"1,091.30"	13.3	86.1	NM	NM			31.92	38.6		9.81	225.6	229.1	20.8	1.52	1.52	2.31	2.31	37.3	21.2	64.8					
Accenture plc (NYSE:ACN)	NYSE:ACN	"78,298.90"	"75,651.00"	"34,189.50"	"5,804.20"	22.4	4.57	9.8	10.7	126.7	618	1.91	1.22	"8,189.40"	"21,135.60"	"12,258.90"	6.45	6.45	5.65	5.65	45.6	15.6	31.6	11.1	0.312	10.2	9.87	10.2
Access National Corporation (NasdaqGM:ANCX)	NasdaqGM:ANCX	538.3		72.3		19.1	8.04	2.78		26.51	20.3	2.26		120.5	"1,401.30"	"1,277.20"	1.54	1.54	1.39	1.39	12.5	1.14		20.6		6.82	5.84	
ACCO Brands Corporation (NYSE:ACCO)	NYSE:ACCO	"1,292.70"	"2,196.50"	"1,638.80"	244.6	13.8	2.77	37.5	20.3	11.8	109.6		1.8	708.7	"2,698.10"	"1,980.90"	0.87	0.87	0.853	0.853	14.2	5.26	33.2	5.75	142.5	24.4	16.5	11.5
Accuray Incorporated (NasdaqGS:ARAY)	NasdaqGS:ARAY	398.4	484.4	366.3	5.1	NM	NM			4.8	83		1.05	59.7	416.8	371.4	0.32	0.32	0.39	0.39	58.5	2.15	37	8.61	374.1			
"AcelRx Pharmaceuticals, Inc. (NasdaqGM:ACRX)"	NasdaqGM:ACRX	108.9	58.2	17.4	33.5	NM	NM			2.4	45.4		6.11	5.34	88.4	108.1	0.952	0.952	1.05	1.05	"2,520.60"	21.2	112.1	273.6	NM			
Aceto Corporation (NasdaqGS:ACET)	NasdaqGS:ACET	466.9	773	579.1	63.3	29.6	62.8	3.28	3.83	15.51	30.1	1.68	2.07	304.4	"1,058.60"	656.5	1.18	1.18	0.524	0.524	4.62	3.49	23.8	2.79	91.5	9.33	9.34	9
"Achaogen, Inc. (NasdaqGM:AKAO)"	NasdaqGM:AKAO	988.1	881.5	43.4	55	NM	NM			24.19	40.8		5.79	106.7	155.8	77.2	3	3	3.29	3.29	167.1	32.2	81.4	212.7	32.4			
"Achillion Pharmaceuticals, Inc. (NasdaqGS:ACHN)"	NasdaqGS:ACHN	612.5	234	15	66.2	NM	NM			4.48	136.7		36.1	399.5	393.4	11	0.452	0.452	0.467	0.467	15.6	9.99			0.146			
"ACI Worldwide, Inc. (NasdaqGS:ACIW)"	NasdaqGS:ACIW	"2,794.10"	"3,396.80"	"1,011.10"	137.2	71.4	77.2	3.89		23.67	118		1.29	754.9	"1,830.80"	"1,060.50"	1.09	1.09	0.331	0.331	5.26	3.19	57	3.84	91.2	133.6	69.5	12.5
"Aclaris Therapeutics, Inc. (NasdaqGS:ACRS)"	NasdaqGS:ACRS	754.7	601.3		47.6	NM	NM			28.23	26.7		27.9	169.5	166.2	5.92	2.25	2.25	2.08	2.08	39.1	23.5						60.9
Acme United Corporation (AMEX:ACU)	AMEX:ACU	94.1	132.3	127	11.2	17	22.5	11.8	4.93	28.05	3.35	1.43	7.57	46.1	100.2	53.6	1.64	1.64	1.65	1.65	13.2	5.76	36.9	4.68	95.2	7.01	9.32	10
ACNB Corporation (NasdaqCM:ACNB)	NasdaqCM:ACNB	181.1		50		16.5	0.979	5.36		29.85	6.07	2.68		120.1	"1,241.70"	"1,119.90"	1.8	1.8	1.81	1.81	9.18	0.916		21.9				
"Acorda Therapeutics, Inc. (NasdaqGS:ACOR)"	NasdaqGS:ACOR	956.5	"1,150.00"	523.1	20.6	NM				20.5	46.7		2.08	664.2	"1,319.80"	643.7	0.765	0.765	1.17	1.17	7.94	0.132	79	10.3	48.4	648	196.4	
"Acorn International, Inc. (NYSE:ATV)"	NYSE:ATV	40.7	15.5	24.5	12.5	11.4	NM	4.47	0.943	10.36	3.93		2.16	99.5	133.3	33.8	0.91	0.91	0.91	0.91	2.45	5.03	51.2	13.9				
"Actinium Pharmaceuticals, Inc. (AMEX:ATNM)"	AMEX:ATNM	61.4	44.3		28.6	NM	NM			1.05	58.5		3.37	18	18.2	5.37	0.502	0.502	0.545	0.545	169.9	86.1						
"Activision Blizzard, Inc. (NasdaqGS:ATVI)"	NasdaqGS:ATVI	"45,785.00"	"46,930.00"	"6,879.00"	"2,262.00"	44.6	19	10.6		60.75	753.7	0.494	1.95	"9,119.00"	"16,921.00"	"7,485.00"	1.28	1.28	1.36	1.36	11.6	5.34	63.8	15	46.6	8.5	5.32	18.8
Actua Corporation (NasdaqGS:ACTA)	NasdaqGS:ACTA	462.5	400.9	114.6	24.6	NM	NM			13.95	33.2		1.56	371.3	432.5	83	1.91	0.654	2.11	0.605	7.19	5.94	73.6	21.8	0.378			
Actuant Corporation (NYSE:ATU)	NYSE:ATU	"1,468.50"	"1,838.80"	"1,095.90"	135.1	29.3	NM	13.1	6.22	24.6	59.7	0.163	2.25	521	"1,488.00"	916.5	1.78	1.78	0.84	0.84	9.12	3.86	34.6	4.56	99.6	30.1	6.52	9
"Acuity Brands, Inc. (NYSE:AYI)"	NYSE:AYI	"8,615.80"	"8,782.80"	"3,472.90"	584.6	28.6	17.1	21.2	9.55	204.7	42.1	0.254	2.01	"1,659.80"	"2,730.50"	"1,195.30"	6.63	6.63	7.17	7.17	20.1	11.7	42.6	9.04	23.2	5.79	8.84	18.3
Acushnet Holdings Corp. (NYSE:GOLF)	NYSE:GOLF	"1,458.50"	"2,051.50"	"1,566.00"	191.5	23.1	NM			19.59	74.5	2.45	1.77	768.8	"1,845.30"	"1,044.40"	0.617	0.617	0.846	0.846	11.1	5.23	51	4.08	78.7	9.91	6.67	5
Acxiom Corporation (NasdaqGS:ACXM)	NasdaqGS:ACXM	"2,106.80"	"2,165.50"	880.2	84.7	NM	NM	37.8	24.2	26.64	79.1		1.6	739	"1,234.50"	495.6	0.05	0.05	0.05	0.05	0.571	1.71	45.7	0.467	31	14.4	24.5	18.1
"Adamas Pharmaceuticals, Inc. (NasdaqGM:ADMS)"	NasdaqGM:ADMS	379.9	267.8	0.397	64.7	NM	NM			16.99	22.4		13.9	132.2	128.5	8.75	2.77	2.77	2.84	2.84	43.4	26.7	100					
Adamis Pharmaceuticals Corporation (NasdaqCM:ADMP)	NasdaqCM:ADMP	146.1	153	9.51	21.5	NM	NM			5.3	27.6		0.409	25.3	33.7	12.8	1.19	1.19	1.03	1.03	127.1	66.4	31.5	197.7	34.9			
"Adams Resources & Energy, Inc. (AMEX:AE)"	AMEX:AE	175	77	"1,152.10"	20.1	NM	NM	60.7	29.9	41.5	4.22	2.12	2.02	151.3	264.2	114.6	0.596	0.596	0.053	0.053	0.147	0.531	2.69	0.019				
Adaptimmune Therapeutics plc (NasdaqGS:ADAP)	NasdaqGS:ADAP	520.8	317.1	14.1	74.6	NM	NM			5.57	93.5		6.99	166.1	266	57.7	1.01	1.01	1.1	1.1	36.4	18.5	100					
"AdCare Health Systems, Inc. (AMEX:ADK)"	AMEX:ADK	20.2	149.3	26.4	10.7	NM	NM			1.02	19.8	0	0.588	23.5	107.5	86.8	0.745	0.07	0.699	0.03	26.5	2.48	100	26	346.8			
Addus HomeCare Corporation (NasdaqGS:ADUS)	NasdaqGS:ADUS	432.4	437.7	409.7	32	26.8	67.1	10.3		37.6	11.5		2.67	158.9	238.7	74.1	1.06	1.05	1.41	1.41	10.4	7	26.6	3.91	14.8	8.9	13.2	15
"ADDvantage Technologies Group, Inc. (NasdaqGM:AEY)"	NasdaqGM:AEY	15.8	19.3	43.2	2.42	51.6	70.3	27.9	23.6	1.55	10.2		4.73	41.6	55.4	13.4	0.029	0.029	0.03	0.03	0.845	1.1	32.1	0.815	17.6			
Adecoagro S.A. (NYSE:AGRO)	NYSE:AGRO	"1,210.00"	"1,781.60"	913.8	285.2	207.6	155.8	32.6		9.96	121.5		1.98	671.7	"1,636.50"	934.2	0.017	0.017	0.048	0.048	1.09	6.15	32.7	0.761	113.3	"5,694.10"	731.1	0.731
Adesto Technologies Corporation (NasdaqCM:IOTS)	NasdaqCM:IOTS	95.5	94.5	45.1	9.27	NM	NM			4.75	20.1		1.78	16.4	43.5	28.9	0.77	0.77	0.842	0.842	66.9	16.2	48.6	28.5	112.8			15
Adient plc (NYSE:ADNT)	NYSE:ADNT	"6,451.00"	"9,271.00"	"16,556.00"	"1,006.00"	NM	NM			68.85	93.7	1.6	1.09	"4,375.00"	"11,919.00"	"8,090.00"	16.4	16.4	5.87	5.87	10.4	3.72	9.3	2.78	87.5	20.1	7.11	
"ADMA Biologics, Inc. (NasdaqCM:ADMA)"	NasdaqCM:ADMA	90.2	99	11.2	18.6	NM	NM			3.5	25.8		1.21	4.46	17.6	28.4	1.61	1.61	1.69	1.69	NM	64.1	39.9	192	NM			
Adobe Systems Incorporated (NasdaqGS:ADBE)	NasdaqGS:ADBE	"72,116.20"	"69,073.10"	"6,526.20"	"2,141.50"	50.9	62.2	13.1	11.7	146.16	493.4		1.99	"7,424.80"	"13,364.90"	"5,560.90"	2.32	2.32	2.87	2.87	19.2	8.86	86.3	22.1	24.2	35	30.1	19.7
"ADOMANI, Inc. (NasdaqCM:ADOM)"	NasdaqCM:ADOM	"1,029.20"	"1,034.50"	0.068	9.63	NM				15.12	68.1		0.407	2.71	3.18	6.12	0.16	0.16	0.175	0.175			26.5		NM			
Adtalem Global Education Inc. (NYSE:ATGE)	NYSE:ATGE	"2,188.80"	"2,105.50"	"1,830.00"	303.3	32.4	88.7	18.7	0.588	34.95	62.6	1.03	1.07	"1,587.20"	"2,317.80"	656.9	0.05	0.05	1.08	1.08	4.37	6.16	59	3.84	7.23	10.1	8.78	10
"ADTRAN, Inc. (NasdaqGS:ADTN)"	NasdaqGS:ADTN	985.8	887.6	664.9	51.6	26.9	89	15.9	3.41	20.4	48.3	1.76	2.91	479.5	667.2	185	0.72	0.72	0.76	0.76	7.72	3.52	45	5.55	5.56	6.07	12.2	
"Aduro BioTech, Inc. (NasdaqGS:ADRO)"	NasdaqGS:ADRO	887.9	533.9	50.4	68	NM	NM			12.7	69.9		12.5	227.2	435.5	206.5	1.4	1.4	1.27	1.27	35.9	9.83	73.3	166.9				
"Advance Auto Parts, Inc. (NYSE:AAP)"	NYSE:AAP	"7,534.60"	"8,482.40"	"9,478.70"	"1,010.00"	18.5	15.6	0.059	9.7	102.04	73.8	0.235	1.45	"2,916.20"	"8,428.70"	"5,405.00"	6.2	6.2	5.52	5.52	14.5	5.58	44.1	4.31	35.5	9.24	4.78	10.4
Advanced Accelerator Applications S.A. (NasdaqGS:AAAP)	NasdaqGS:AAAP	"1,758.30"	"1,547.20"	123	13.3	NM	NM			39.88	44.1		6.57	316.1	440.5	126.8	0.663	0.663	0.866	0.866	14.6	4.81	71.3	29.2	5.27			
"Advanced Disposal Services, Inc. (NYSE:ADSW)"	NYSE:ADSW	"2,047.80"	"3,991.20"	"1,418.20"	392.2	NM	NM			23.2	88.3		0.601	829.5	"3,427.20"	"2,599.00"	0.44	0.44	0.311	0.311	3.57	2.41	37.9	1.63	234.9	10.9	8.83	13.2
"Advanced Drainage Systems, Inc. (NYSE:WMS)"	NYSE:WMS	"1,112.30"	"1,860.60"	"1,257.30"	154.9	40	28.2	4.21		20	55.6	1.4	1.72	548.7	"1,046.30"	497.6	0.5	0.5	0.5	0.5	6.72	5.16	23.5	2.86	78.2	60.9	30.2	23.4
"Advanced Emissions Solutions, Inc. (NasdaqGM:ADES)"	NasdaqGM:ADES	209.6	181.1	35.7	13.4	2.08	NM	36.5	83.8	9.4	22.3	10.6	2.84	76.2	104.8	19.5	4.34	4.34	4.53	4.53	312.8	12.4	20.3	286.1		38.2	12.3	
"Advanced Energy Industries, Inc. (NasdaqGS:AEIS)"	NasdaqGS:AEIS	"2,847.40"	"2,524.70"	530	154.3	21.7	71.6	50	5.53	71.59	39.8		4.87	392.1	616.5	182.2	3.18	2.92	3.56	3.3	36.5	16.7	52.5	24.9		28.9	15.3	12.2
"Advanced Micro Devices, Inc. (NasdaqCM:AMD)"	NasdaqCM:AMD	"13,154.60"	"13,619.60"	"4,424.00"	206	NM	NM			13.92	945		1.82	416	"3,299.00"	"2,890.00"	0.6	0.6	0.534	0.534	NM	6.77	24	10.4	344.3			6.25
"Advanced Semiconductor Engineering, Inc. (TSEC:2311)"	TSEC:2311	"10,455.30"	"12,538.30"	"9,174.60"	"1,838.90"	17.6	2.96	7.82	0.843	1.31	"8,007.70"	3.54	1.38	"5,149.10"	"11,426.20"	"5,613.90"	0.072	0.072	0.074	0.074	12.5	4.78	19.3	7.72	55.1	13.6	15.5	6.69
AdvanSix Inc. (NYSE:ASIX)	NYSE:ASIX	"1,019.40"	"1,272.30"	"1,268.40"	114.1	30.2	61.7			33.44	30.5		1.15	215.4	928	683.7	1.12	1.12	1.11	1.11	8.81	5.05	10.4	2.68	108.4			10
Advantage Oil & Gas Ltd. (TSX:AAV)	TSX:AAV	"1,284.70"	"1,401.40"	147.7	110.6	148.1	67.3		16.6	6.91	185.9		0.812	899.5	"1,150.00"	209.8	0.067	0.067	0.044	0.044	0.951	1.02	82.3	6.01	11.8			
"Advaxis, Inc. (NasdaqGS:ADXS)"	NasdaqGS:ADXS	283.6	168.3	11	78	NM	NM			7.01	40.5		4.22	119.3	137.9	46	2.08	2.08	1.97	1.97	81	40.7	100					
"Adverum Biotechnologies, Inc. (NasdaqGM:ADVM)"	NasdaqGM:ADVM	111.5	98	1.65	49.7	NM	NM			2.6	42.9		17.8	215.6	221.9	20.5	3.14	3.14	2.86	2.86	51.7	13.5			0.037			
AECOM (NYSE:ACM)	NYSE:ACM	"5,105.00"	"8,766.50"	"17,517.40"	821.9	23.1	"4,041.50"	8.54	3.9	32.78	155.7		1.22	"3,552.50"	"13,641.00"	"9,912.90"	0.62	0.62	1.42	1.42	7.55	2.27	3.55	1.59	112.8	1.23	0.754	4.05
Aegean Marine Petroleum Network Inc. (NYSE:ANW)	NYSE:ANW	230.8	"1,023.80"	"4,847.50"	121.8	6.31	29.4	29	2.3	5.85	39.4	1.37	1.82	589.6	"1,651.20"	"1,055.30"	1.11	1.11	0.927	0.927	6.75	3.86	7.28	0.857	143.2	55.8	5.46	
Aegion Corporation (NasdaqGS:AEGN)	NasdaqGS:AEGN	750.8	"1,049.20"	"1,253.20"	120.1	20.9	NM	8.17	4.39	23.48	32		2.52	576.2	"1,175.40"	594.5	0.84	0.84	1.13	1.13	7.13	3.79	21.5	3.26	64.8	16.5	12.9	11.3
"Aeglea Biotherapeutics, Inc. (NasdaqGM:AGLE)"	NasdaqGM:AGLE	62.4	4.49	4.75	23.5	NM	NM			3.79	16.5		15.2	63	61.3	4.08	2.22	2.22	1.8	1.8	52.6	30.6	100					
AEGON N.V. (ENXTAM:AGN)	ENXTAM:AGN	"11,161.70"	"16,810.80"	"58,094.50"	"1,993.20"	18.1	NM	1.8	16.6	5.47	"2,040.00"	5.45	3.01	"25,695.10"	"454,934.80"	"427,847.50"	0.155	0.155	0.281	0.281	2.58	0.263	9.75	1.24	62.9	8.07	4.37	7
Aehr Test Systems (NasdaqCM:AEHR)	NasdaqCM:AEHR	82.8	86.8	13.8	6.91	NM	NM			3.91	21.2		2.37	0.723	12.2	10.9	0.52	0.52	0.535	0.535	476.2	35.1	29.6	57.4	470.3			20
"Aemetis, Inc. (NasdaqGM:AMTX)"	NasdaqGM:AMTX	24.8	144	141.4	0.701	NM	NM			1.26	19.7		0.17	49.8	75	132.8	0.791	0.791	0.962	0.962	NM	3.27	6.31	13.5	NM			
